"site_year","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161"
"CRU 2017",0.163833333333333,-1.05229166666667,1.13375,2.577375,2.84475,1.5468125,2.33177083333333,3.96297916666667,2.39652083333333,4.159375,4.21389583333333,4.7155625,7.74714583333333,6.97320833333333,7.6664375,7.47716666666667,6.8896875,5.46352083333333,2.62847916666667,4.84610416666667,6.0450625,3.64479166666667,1.26052083333333,-0.0954375000000002,2.28295833333333,3.72972916666667,5.67391666666667,8.00029166666667,8.7929375,7.013125,7.81404166666667,10.1306875,9.87902083333333,8.82410416666667,7.49610416666667,8.494,7.06489583333333,8.0190625,8.7054375,8.7043125,9.8296875,8.09708333333333,6.67697916666667,8.12358333333333,7.21875,6.216,5.97839583333333,4.90239583333333,5.18320833333333,4.505875,3.39083333333333,9.398125,10.4700625,8.126125,5.469,6.28475,2.69239583333333,1.8236875,4.30272916666667,7.10647916666667,7.51604166666667,7.11041666666667,9.05010416666667,11.0651875,9.90654166666667,10.3962291666667,9.79577083333333,9.7733125,9.37022916666667,7.91320833333333,8.21554166666667,9.141125,7.15604166666667,10.8465,12.7936666666667,11.0571875,11.1101875,11.0414166666667,14.3320416666667,11.27625,10.1349375,10.3004166666667,7.90820833333333,9.541875,11.3166458333333,10.664,14.7640625,18.9741875,20.5605625,17.9511666666667,14.4316875,11.3117083333333,11.3767916666667,13.0009375,13.4745625,12.2335833333333,9.3335625,10.8672708333333,10.0079166666667,9.3584375,9.5979375,7.77172916666667,11.3506666666667,13.1023958333333
"CRU 2018",-2.26916666666667,-5.48285416666667,-3.865625,-1.48627083333333,-0.414291666666667,-0.0499166666666667,1.85095833333333,0.89875,1.52195833333333,1.5035,1.24241666666667,0.2414375,3.3706875,2.53708333333333,3.66504166666667,5.2491875,4.4825,2.91816666666667,-0.379229166666667,-1.10264583333333,-0.287791666666666,-0.270645833333334,5.262625,6.40870833333333,4.78052083333333,4.03135416666667,3.55627083333333,2.40727083333333,4.56483333333333,2.85139583333333,0.414875,2.37302083333333,1.68566666666667,0.541645833333333,1.62004166666667,1.011125,1.12229166666667,2.20491666666667,5.1041875,7.79995833333333,6.34089583333333,7.08183333333333,5.45208333333333,5.97791666666667,8.23227083333333,6.01747916666667,8.9274375,9.1915625,9.7071875,9.93872916666667,12.2365416666667,13.3017708333333,9.705375,10.4464583333333,8.72729166666667,8.12208333333333,7.87891666666667,6.53747916666667,5.96739583333333,6.42816666666667,5.15302083333333,5.99145833333333,6.3168125,6.0005625,6.18445833333333,6.88679166666667,11.006375,13.1006458333333,14.1534166666667,13.6756666666667,12.0221666666667,8.5973125,8.47341666666667,9.36635416666667,12.6640208333333,10.1848125,11.5460833333333,12.0087916666667,10.6171041666667,11.293625,12.2503958333333,13.6046875,13.2448125,11.2349583333333,8.2601875,14.6569375,16.0032708333333,14.8653125,15.6291458333333,17.920375,18.3045833333333,18.2535833333333,17.0144791666667,18.087375,19.3354166666667,18.08,17.5068125,16.4758958333333,14.3288541666667,14.0095416666667,15.3461041666667,14.3424166666667,13.5170833333333,14.0690625
"CRU 2019",5.446,4.13845833333333,6.23335416666667,5.751875,4.8828125,3.86683333333333,1.2568125,1.31985416666667,3.59458333333333,1.40372916666667,1.5614375,0.355791666666667,2.347375,3.06025,4.202125,4.66297916666667,2.38977083333333,1.08995833333333,2.26370833333333,2.61847916666667,7.29039583333333,9.0278125,9.85414583333333,7.12275,3.82466666666667,3.6784375,5.18627083333333,6.87189583333333,8.4000625,8.20122916666667,7.82454166666667,5.6674375,2.99441666666667,3.54202083333333,3.78252083333333,2.07520833333333,3.79308333333333,6.27370833333333,2.83866666666667,5.02960416666667,6.50491666666667,6.8395625,5.10875,6.1568125,4.87022916666667,4.31710416666667,4.8825625,5.6154375,7.1023125,7.8969375,10.5826041666667,12.9771041666667,14.4933333333333,15.05825,14.2734375,11.8902916666667,9.74760416666667,10.658625,9.1006875,8.13820833333333,10.2823541666667,10.887,10.1030416666667,11.0038958333333,7.02879166666667,3.67777083333333,3.624875,5.90854166666667,5.615375,3.68872916666667,4.63135416666667,6.38947916666667,5.29054166666667,6.92277083333333,8.69875,12.6847291666667,13.6323333333333,15.8779791666667,13.6683541666667,12.1096875,9.1535,10.408375,10.56525,9.26841666666667,8.15872916666667,9.59245833333333,10.2823541666667,8.50375,10.052625,8.34733333333333,7.39479166666667,8.14529166666667,7.8769375,11.1398333333333,11.0775,13.3767291666667,10.7641041666667,11.1712916666667,8.45247916666667,9.23672916666667,11.4001458333333,11.25475,10.3554375,11.0658333333333
"CRU 2021",6.33002083333333,6.06910416666667,5.10741666666667,1.3649375,-0.735875,1.815625,0.340958333333333,-0.088,3.51929166666667,6.57041666666667,6.20508333333333,4.59604166666667,3.73904166666667,2.02485416666667,2.50539583333333,4.209375,5.16016666666667,7.7820625,7.35341666666667,7.457875,7.20733333333333,7.3955625,4.88797916666667,6.4864375,6.94672916666667,4.95104166666667,5.891375,3.812125,3.94770833333333,6.93627083333333,11.1658125,10.3723125,5.50483333333333,3.83229166666667,3.32972916666667,7.47733333333333,4.68954166666667,-0.631104166666667,0.1426875,1.366,4.58520833333333,1.28247916666667,0.91575,-0.0467291666666669,0.339125,2.3141875,5.5124375,6.70339583333333,6.55827083333333,7.13254166666667,6.194375,10.5071458333333,7.155375,5.4080625,7.987625,9.67960416666667,9.15833333333333,10.1918125,7.63616666666667,6.56020833333333,5.51510416666667,4.73127083333333,5.32695833333333,5.3270625,5.5673125,3.41460416666667,4.89822916666667,3.80095833333333,3.43541666666667,5.5036875,3.6963125,9.21239583333333,10.07975,10.3715,8.41916666666667,9.504625,9.44233333333333,10.0473541666667,9.95283333333333,9.26483333333333,9.2429375,9.80775,8.70129166666667,6.58097916666667,7.42589583333333,6.36066666666667,5.77677083333333,8.41925,9.31741666666667,12.2605208333333,13.4170625,15.6928541666667,17.3198541666667,16.9032916666667,16.0799791666667,16.1941041666667,14.00425,12.5118958333333,14.2845625,13.2315416666667,13.3236041666667,14.3379583333333,15.5907916666667,16.3730625
"DAV 2014",4.307,2.81558333333333,3.14389583333333,4.9335625,2.96614583333333,3.28916666666667,5.9438125,6.6225625,3.383875,7.06625,6.42797916666667,4.10052083333333,4.74435416666667,4.71525,8.45097916666667,7.96760416666667,8.75895833333333,10.2145208333333,8.4825625,8.12308333333333,9.55245833333333,5.58566666666667,2.5898125,2.13164583333333,2.247125,3.2084375,7.39039583333333,5.32377083333333,5.64560416666667,5.2678125,7.27533333333333,5.83616666666667,8.0885625,6.811,6.6760625,7.0985,7.68022916666667,8.44052083333333,11.4467291666667,7.74583333333333,7.54733333333333,10.6229583333333,8.7284375,6.56625,9.00589583333333,7.50210416666667,6.9388125,7.8046875,10.598,7.27079166666667,7.55041666666667,9.39660416666667,8.02141666666667,8.19433333333333,8.3696875,12.1676666666667,12.47275,8.80335416666667,10.4308958333333,10.4052083333333,11.0296458333333,9.19139583333333,7.43966666666667,5.37375,5.78804166666667,8.6559375,12.6546458333333,11.6212708333333,11.7772916666667,9.67125,10.3319583333333,10.017375,8.92479166666667,9.32989583333333,8.925375,8.497125,10.0980208333333,12.0886458333333,12.3843958333333,10.4465833333333,11.5426875,12.489875,14.8821458333333,10.7071458333333,7.590125,7.70489583333333,10.9520208333333,9.4494375,11.577875,10.8315,11.7110416666667,11.3213958333333,11.9171041666667,14.4743125,15.6127916666667,15.7816458333333,12.4135416666667,11.1403333333333,11.6329583333333,14.2304791666667,15.2002291666667,14.9943125,14.6968541666667,14.3640833333333
"DAV 2015",3.35977083333333,5.73925,3.2406875,0.695020833333333,0.786645833333333,2.72385416666667,6.34166666666667,6.58097916666667,10.3777916666667,4.9435625,4.43222916666667,4.14647916666667,3.3999375,4.39091666666667,4.029625,1.86929166666667,1.4425,2.9241875,4.8026875,6.02779166666667,5.91354166666667,7.58014583333333,6.47741666666667,7.39052083333333,5.76433333333333,2.75225,4.32170833333333,4.55675,5.13229166666667,6.8076875,4.24072916666667,3.28341666666667,2.02372916666667,2.0771875,4.58335416666667,6.1141875,8.21691666666667,9.812375,8.63289583333333,10.2791875,10.1504791666667,10.1169583333333,11.0140833333333,6.08752083333333,4.44860416666667,6.46885416666667,10.4756458333333,7.05679166666667,7.20945833333333,7.77741666666667,8.0425625,5.879,7.53152083333333,10.3272708333333,12.6009791666667,10.1535208333333,9.58383333333333,5.81964583333333,3.1484375,2.03460416666667,3.70739583333333,5.3385,4.90947916666667,4.7429375,5.55114583333333,4.8368125,9.2518125,7.51602083333333,6.23975,4.81516666666667,5.78345833333333,8.308125,9.99754166666667,10.2100416666667,9.179375,8.67089583333333,9.71316666666667,8.025625,7.2345625,7.26197916666667,7.9205,7.4434375,10.1979166666667,11.6990208333333,11.8021666666667,10.086625,9.97902083333333,9.56083333333333,9.86925,8.35885416666667,7.29970833333333,7.51127083333333,9.26214583333333,8.2591875,7.31208333333333,8.33997916666667,9.6516875,9.05439583333333,11.4025833333333,11.0084375,9.91122916666667,10.768625,13.7271041666667,14.0032708333333
"DAV 2016",-1.40825,-1.19125,3.65291666666667,5.67677083333333,0.852958333333333,2.270875,2.0600625,1.5679375,0.6170625,0.572041666666667,3.69054166666667,3.1015,1.5669375,5.473125,8.9125,9.2715625,7.64022916666667,4.47095833333333,4.98004166666667,6.573875,5.50470833333333,5.72945833333333,5.5405,7.32222916666667,7.7341875,6.42795833333333,6.8774375,6.62020833333333,7.27027083333333,5.74085416666667,4.3310625,5.14435416666667,3.10895833333333,3.29510416666667,6.82091666666667,7.46841666666667,7.3461875,6.36154166666667,6.19391666666667,5.72525,6.023875,5.69585416666667,6.36375,6.97320833333333,6.65545833333333,7.18335416666667,5.64210416666667,5.51447916666667,3.31414583333333,3.17252083333333,5.8565625,6.886875,6.66908333333333,7.404125,6.79966666666667,5.12127083333333,3.06741666666667,5.98572916666667,3.15325,2.22766666666667,2.57664583333333,3.23320833333333,3.60533333333333,5.63197916666667,9.39947916666667,8.72102083333333,7.46804166666667,9.973,11.1383333333333,9.714375,8.75410416666667,9.45702083333333,13.7261875,13.7972083333333,10.7951041666667,11.3291041666667,7.693625,7.96133333333333,8.06485416666667,10.7399583333333,11.6415416666667,9.415625,9.159375,11.3580833333333,11.466625,10.7715208333333,11.2034583333333,10.7309375,8.55025,9.05577083333333,10.4158125,13.8962708333333,13.5697916666667,12.2815416666667,12.9069583333333,12.3789166666667,10.0346041666667,10.1043541666667,11.271875,12.0207708333333,13.916375,15.1985833333333,13.0994375,13.90575
"DAV 2017",0.874208333333333,-0.330083333333333,1.92727083333333,2.47620833333333,2.09545833333333,2.38360416666667,2.17308333333333,3.98164583333333,3.2054375,4.6294375,3.99810416666667,5.58558333333333,8.7530625,6.2540625,8.26097916666667,8.25327083333333,7.2575625,6.8378125,2.579875,4.0785,6.50245833333333,4.34233333333333,2.40833333333333,1.42966666666667,3.907875,4.58185416666667,6.31083333333333,6.7040625,6.91566666666667,5.748,8.48583333333333,11.0202291666667,10.3796875,7.45064583333333,6.74772916666667,9.4845,8.329,9.01925,9.51560416666667,9.21266666666667,10.1453958333333,7.04516666666667,7.0580625,8.6639375,7.81127083333333,7.37791666666667,6.761125,6.37225,6.44322916666667,3.011125,4.298625,10.3698125,10.7585,8.40110416666667,6.55283333333333,7.54541666666667,2.85860416666667,3.16704166666667,5.11354166666667,7.54197916666667,7.79010416666667,8.63183333333333,9.37172916666667,11.8159375,9.98704166666667,8.97075,8.963375,8.76735416666667,8.24285416666667,8.78435416666667,8.48516666666667,8.8505625,9.0523125,10.9337708333333,15.5255833333333,12.5480625,13.8751041666667,13.3220208333333,15.758625,12.0983541666667,11.2421666666667,9.69358333333333,8.58310416666667,10.1911041666667,12.3700625,11.0099791666667,14.8689166666667,18.7461041666667,20.3731041666667,19.1786041666667,14.0565625,11.9959375,12.3598958333333,13.3424166666667,14.9336458333333,14.0994791666667,10.2937916666667,11.2155625,10.5872708333333,9.84310416666667,8.89597916666667,8.66977083333333,10.2193541666667,13.8656666666667
"DAV 2018",-1.50991666666667,-4.10854166666667,-3.18395833333333,-0.942875,0.564416666666667,0.301166666666667,1.83008333333333,1.126625,1.47758333333333,1.45635416666667,1.46483333333333,0.752041666666667,3.41185416666667,3.85579166666667,4.0621875,5.39116666666667,5.18739583333333,4.22227083333333,0.569479166666667,0.638479166666667,-0.315666666666667,0.481604166666666,5.8835625,7.35941666666667,5.283875,4.35529166666667,4.75727083333333,3.78539583333333,5.859625,4.36583333333333,2.7274375,3.82010416666667,2.646625,1.4965,1.99641666666667,1.61510416666667,1.80233333333333,2.9231875,5.6111875,9.255,8.28835416666667,7.75458333333333,5.62033333333333,6.79083333333333,8.38052083333333,6.22379166666667,9.806625,9.48729166666667,11.5184375,12.41625,13.621625,13.5830625,10.1739166666667,9.60079166666667,8.83654166666667,8.96658333333333,9.02425,7.3090625,7.16229166666667,7.32316666666667,6.04583333333333,6.2723125,5.97014583333333,6.68358333333333,7.25410416666667,8.17554166666667,12.7674583333333,13.3894791666667,14.2614166666667,12.0678125,12.7331041666667,9.37629166666667,9.61725,10.66825,11.9483125,11.4509375,11.7975625,11.5524375,9.77441666666667,10.1404791666667,11.8365208333333,15.3120625,15.2797083333333,10.7072708333333,7.63016666666667,11.8046666666667,14.2176875,13.1786041666667,11.83125,12.1010625,15.8833333333333,15.2068333333333,14.9877916666667,15.6030833333333,17.8628958333333,17.5513333333333,17.0275416666667,13.7482916666667,12.2425833333333,11.5410833333333,13.9116458333333,12.1628958333333,13.1647708333333,13.6854166666667
"DAV 2019",4.14685416666667,4.0334375,6.18910416666667,5.42520833333333,5.68695833333333,3.97125,1.175875,2.18089583333333,3.6784375,1.94039583333333,2.06629166666667,0.558645833333333,2.76714583333333,3.58410416666667,4.55727083333333,4.86066666666667,2.7156875,0.841958333333333,2.29670833333333,2.75622916666667,7.1710625,9.31472916666667,10.3498333333333,7.77797916666667,4.36804166666667,3.98166666666667,5.72835416666667,7.57939583333333,8.9703125,8.4998125,8.6774375,5.16360416666667,2.04329166666667,3.153125,3.91854166666667,2.78875,3.73045833333333,6.33414583333333,3.321375,5.44664583333333,5.40475,5.86316666666667,5.34070833333333,6.80527083333333,7.35939583333333,5.61208333333333,4.89016666666667,6.45920833333333,7.92408333333333,9.7315625,10.7739791666667,13.8565833333333,14.0362083333333,14.171375,15.5492291666667,13.221,9.1556875,11.5812083333333,10.4639166666667,8.82391666666667,10.6835625,9.52054166666667,9.79220833333333,11.811875,6.37752083333333,3.61575,3.40558333333333,6.178125,5.8016875,4.39972916666667,4.504875,6.38716666666667,5.8215625,7.515625,9.71883333333333,12.41525,13.2681458333333,14.3357708333333,14.1275625,11.93675,9.25289583333333,11.0911666666667,10.9977916666667,9.6284375,8.0606875,9.22110416666667,9.86866666666667,8.112125,9.2104375,7.85158333333333,6.86825,8.38129166666667,7.3395625,10.7459375,11.4570416666667,13.0335416666667,11.885,11.2375833333333,7.96710416666667,9.32583333333333,10.4524375,11.1643125,10.7985625,10.8824583333333
